variable name,units,variable value,min value,max value,distribution type
Fuselage Diameter,m,,,,
Fuselage Length,m,,,,
Propellant Flow Rate,kg/s,,,,
Nozzel Efficiency,N/A,,,,
C Star,m/s,,,,
Exit Pressure,Pa,,,,
Chamber Pressure,Pa,,,,
Burn Time,s,,,,
Mass ,kg,,,,
Drag Coefficent Scaling Factor,N/A,,,,
Head Wind,m/s,,,,
Cross Wind,m/s,,,,
Launch Angle,°,,,,
Ballute Deployment Altitude,m,,,,
Chute Deployment Altitude,m,,,,
Ballute Drag Coefficient,N/A,,,,
Chute Drag Coefficient,N/A,,,,
Ballute Area,m^2,,,,
Chute Area,m^2,,,,
